dataset,data_fraction,model,tuning_method,iteration,AUC,rf__max_depth,rf__min_samples_split,rf__n_estimators,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample,sgd__alpha,sgd__l1_ratio,sgd__penalty
qsar-biodeg,0.25,SGDClassifier,RandomSearch,31,0.8946505282712179,,,,,,,,0.0018004668413421285,0.9149596755437808,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,32,0.8840618831998144,,,,,,,,0.001307647338292854,0.3308980248526492,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,33,0.8794467665157321,,,,,,,,3.588488911386258e-05,0.32518332202674705,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,34,0.8856786253337978,,,,,,,,0.0009046673956058785,0.27472179299006416,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,35,0.871563334494369,,,,,,,,0.00022965432344634342,0.1195942459383017,l1
qsar-biodeg,0.25,SGDClassifier,RandomSearch,36,0.8888685707651225,,,,,,,,0.017561803816666714,0.7217295211648732,elasticnet
qsar-biodeg,0.25,SGDClassifier,RandomSearch,37,0.8986096598165564,,,,,,,,0.007158728631500196,0.49379559636439074,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,38,0.8882851503541158,,,,,,,,0.0035753161317240768,0.11089082081183133,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,39,0.8616901776384536,,,,,,,,1.0199902295182438e-05,0.8957635956735194,l2
qsar-biodeg,0.25,SGDClassifier,RandomSearch,40,0.860321606873331,,,,,,,,3.730610475453591e-05,0.5085706911647028,l1
qsar-biodeg,0.25,SGDClassifier,BayesSearch,1,0.8746357250667596,,,,,,,,0.00011233621690895234,0.7277257431773251,elasticnet
qsar-biodeg,0.25,SGDClassifier,BayesSearch,2,0.9055033089515848,,,,,,,,0.01537948446580078,0.8833152773808622,l2
qsar-biodeg,0.25,SGDClassifier,BayesSearch,3,0.8888801811215604,,,,,,,,0.00016755699440936588,0.9187225216693771,l2
qsar-biodeg,0.25,SGDClassifier,BayesSearch,4,0.8707128758852898,,,,,,,,0.011533999859559564,0.1718715613965607,l1
qsar-biodeg,0.25,SGDClassifier,BayesSearch,5,0.8677348194589574,,,,,,,,0.009948719998234101,0.43802918644092337,l1
qsar-biodeg,0.25,SGDClassifier,BayesSearch,6,0.8952281435040055,,,,,,,,0.0046788604247112444,0.9393697376027718,l2
qsar-biodeg,0.25,SGDClassifier,BayesSearch,7,0.8619107744107745,,,,,,,,0.0012172976749510152,0.7753643788278826,l1
qsar-biodeg,0.25,SGDClassifier,BayesSearch,8,0.8661732265180541,,,,,,,,0.0005212131190318165,0.9200092264373164,l1
qsar-biodeg,0.25,SGDClassifier,BayesSearch,9,0.8822622779519331,,,,,,,,0.05989491205267932,0.700621444621366,elasticnet
qsar-biodeg,0.25,SGDClassifier,BayesSearch,10,0.8328050621154068,,,,,,,,1.0426811836320545e-06,0.8178300196637516,elasticnet
qsar-biodeg,0.25,SGDClassifier,BayesSearch,11,0.9098513874375944,,,,,,,,0.1,0.0,l2
qsar-biodeg,0.25,SGDClassifier,BayesSearch,12,0.8449625566004876,,,,,,,,1e-06,2.7755575615628914e-17,l2
qsar-biodeg,0.25,SGDClassifier,BayesSearch,13,0.8512510159061883,,,,,,,,1.954120697018421e-05,0.01146249497848151,l2
qsar-biodeg,0.25,SGDClassifier,BayesSearch,14,0.9098513874375944,,,,,,,,0.1,1.0,l2
qsar-biodeg,0.25,SGDClassifier,BayesSearch,15,0.9093086032741204,,,,,,,,0.044282715451004324,0.13924137162351613,l2
qsar-biodeg,0.25,SGDClassifier,BayesSearch,16,0.8786282363868572,,,,,,,,0.0007658750321152356,0.08068285511366037,l2
